=== Demo09.5 调试日志 ===
时间: 2026-01-16 15:27:45
SENSITIVITY: 1.0
MOVE_COOLDOWN: 0.15
DEADZONE: 2
==================================================

[1768577295.973] 误差:(2,-17) 距离:17 -> MOVE(updated, chg=9)
[1768577296.014] 误差:(5,-7) 距离:9 -> MOVE(updated, chg=10)
[1768577296.046] 误差:(3,1) 距离:3 -> MOVE(updated, chg=8)
[1768577296.099] 误差:(-1,10) 距离:10 -> MOVE(updated, chg=10)
[1768577296.125] 误差:(-7,13) 距离:15 -> SKIP(waiting, chg=7)
[1768577296.159] 误差:(-4,24) 距离:24 -> MOVE(updated, chg=14)
[1768577296.196] 误差:(-5,22) 距离:23 -> SKIP(waiting, chg=2)
[1768577296.233] 误差:(-5,12) 距离:13 -> MOVE(updated, chg=12)
[1768577296.287] 误差:(-7,10) 距离:12 -> SKIP(waiting, chg=3)
[1768577296.316] 误差:(-4,-11) 距离:12 -> MOVE(updated, chg=23)
[1768577296.347] 误差:(-1,-24) 距离:24 -> MOVE(updated, chg=13)
[1768577296.379] 误差:(-1,-26) 距离:26 -> SKIP(waiting, chg=2)
[1768577296.412] 误差:(-2,-27) 距离:27 -> SKIP(waiting, chg=3)
[1768577296.458] 误差:(3,-1) 距离:3 -> MOVE(updated, chg=23)
[1768577296.523] 误差:(3,-1) 距离:3 -> SKIP(waiting, chg=0)
[1768577296.566] 误差:(3,-2) 距离:4 -> SKIP(waiting, chg=1)
[1768577296.615] 误差:(-8,9) 距离:12 -> MOVE(updated, chg=15)
[1768577296.636] 误差:(-3,4) 距离:5 -> SKIP(waiting, chg=7)
[1768577296.674] 误差:(-2,2) 距离:3 -> MOVE(updated, chg=9)
[1768577296.718] 误差:(2,15) 距离:15 -> MOVE(updated, chg=14)
[1768577296.746] 误差:(12,5) 距离:13 -> MOVE(updated, chg=14)
[1768577296.792] 误差:(13,22) 距离:26 -> MOVE(updated, chg=17)
[1768577296.819] 误差:(32,15) 距离:35 -> MOVE(updated, chg=20)
[1768577296.863] 误差:(19,-2) 距离:19 -> MOVE(updated, chg=21)
[1768577296.893] 误差:(19,-4) 距离:19 -> SKIP(waiting, chg=2)
[1768577296.928] 误差:(-25,-36) 距离:44 -> MOVE(updated, chg=56)
